precinct,office,party_detailed,party_simplified,mode,votes,county_name,county_fips,jurisdiction_name,jurisdiction_fips,candidate,district,magnitude,dataverse,year,stage,state,special,writein,state_po,state_fips,state_cen,state_ic,date,readme_check
EAST KINGSTON,TREASURER,REPUBLICAN,REPUBLICAN,TOTAL,726,ROCKINGHAM,33015,EAST KINGSTON,3301521380,SCOTT PRIESTLEY,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
EASTON,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,141,GRAFTON,33009,EASTON,3300922020,KEN HILL,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
EASTON,TREASURER,,OTHER,TOTAL,4,GRAFTON,33009,EASTON,3300922020,WRITEIN,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,TRUE,NH,33,12,4,11/6/2018,FALSE
EATON,TREASURER,REPUBLICAN,REPUBLICAN,TOTAL,134,CARROLL,33003,EATON,3300323380,JOSEPH L COSTELLO,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
EFFINGHAM,TREASURER,REPUBLICAN,REPUBLICAN,TOTAL,412,CARROLL,33003,EFFINGHAM,3300323620,JOSEPH L COSTELLO,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
ELLSWORTH,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,38,GRAFTON,33009,ELLSWORTH,3300923860,KEN HILL,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
ENFIELD,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,1379,GRAFTON,33009,ENFIELD,3300924340,KEN HILL,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
ENFIELD,TREASURER,,OTHER,TOTAL,10,GRAFTON,33009,ENFIELD,3300924340,WRITEIN,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,TRUE,NH,33,12,4,11/6/2018,FALSE
EPPING,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,1400,ROCKINGHAM,33015,EPPING,3301524660,AHEARN,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
EPPING,TREASURER,REPUBLICAN,REPUBLICAN,TOTAL,1584,ROCKINGHAM,33015,EPPING,3301524660,SCOTT PRIESTLEY,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
EPSOM,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,786,MERRIMACK,33013,EPSOM,3301324900,LEO R BERNIER,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
EPSOM,TREASURER,REPUBLICAN,REPUBLICAN,TOTAL,1085,MERRIMACK,33013,EPSOM,3301324900,DAVID KIDDER,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
ERROL,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,51,COOS,33007,ERROL,3300725140,EMILY JACOBS,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
ERROL,TREASURER,REPUBLICAN,REPUBLICAN,TOTAL,102,COOS,33007,ERROL,3300725140,SUZANNE COLLINS,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
EXETER,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,4643,ROCKINGHAM,33015,EXETER,3301525380,AHEARN,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
EXETER,TREASURER,,OTHER,TOTAL,2,ROCKINGHAM,33015,EXETER,3301525380,WRITEIN,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,TRUE,NH,33,12,4,11/6/2018,FALSE
EXETER,TREASURER,REPUBLICAN,REPUBLICAN,TOTAL,2688,ROCKINGHAM,33015,EXETER,3301525380,SCOTT PRIESTLEY,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
FARMINGTON,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,1002,STRAFFORD,33017,FARMINGTON,3301726020,PAMELA J ARNOLD,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
FARMINGTON,TREASURER,REPUBLICAN,REPUBLICAN,TOTAL,1149,STRAFFORD,33017,FARMINGTON,3301726020,PERIKLIS KAROUTAS,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
FITZWILLIAM,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,560,CHESHIRE,33005,FITZWILLIAM,3300526500,TERRY M CLARK,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
FITZWILLIAM,TREASURER,LIBERTARIAN,LIBERTARIAN,TOTAL,147,CHESHIRE,33005,FITZWILLIAM,3300526500,KENNETH KELLY,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
FITZWILLIAM,TREASURER,,OTHER,TOTAL,1,CHESHIRE,33005,FITZWILLIAM,3300526500,WRITEIN,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,TRUE,NH,33,12,4,11/6/2018,FALSE
FRANCESTOWN,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,418,HILLSBOROUGH,33011,FRANCESTOWN,3301127140,WILLIAM BRYK,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
FRANCESTOWN,TREASURER,REPUBLICAN,REPUBLICAN,TOTAL,448,HILLSBOROUGH,33011,FRANCESTOWN,3301127140,DAVID G FREDETTE,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
FRANCONIA,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,429,GRAFTON,33009,FRANCONIA,3300927300,KEN HILL,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
FRANCONIA,TREASURER,,OTHER,TOTAL,2,GRAFTON,33009,FRANCONIA,3300927300,WRITEIN,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,TRUE,NH,33,12,4,11/6/2018,FALSE
FRANKLIN WARD 1,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,387,MERRIMACK,33013,FRANKLIN,3301327380,LEO R BERNIER,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
FRANKLIN WARD 1,TREASURER,REPUBLICAN,REPUBLICAN,TOTAL,551,MERRIMACK,33013,FRANKLIN,3301327380,DAVID KIDDER,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
FRANKLIN WARD 2,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,326,MERRIMACK,33013,FRANKLIN,3301327380,LEO R BERNIER,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
FRANKLIN WARD 2,TREASURER,REPUBLICAN,REPUBLICAN,TOTAL,380,MERRIMACK,33013,FRANKLIN,3301327380,DAVID KIDDER,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
FRANKLIN WARD 3,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,502,MERRIMACK,33013,FRANKLIN,3301327380,LEO R BERNIER,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
FRANKLIN WARD 3,TREASURER,REPUBLICAN,REPUBLICAN,TOTAL,597,MERRIMACK,33013,FRANKLIN,3301327380,DAVID KIDDER,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
FREEDOM,TREASURER,REPUBLICAN,REPUBLICAN,TOTAL,513,CARROLL,33003,FREEDOM,3300327700,JOSEPH L COSTELLO,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
FREMONT,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,786,ROCKINGHAM,33015,FREMONT,3301527940,AHEARN,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
FREMONT,TREASURER,REPUBLICAN,REPUBLICAN,TOTAL,1175,ROCKINGHAM,33015,FREMONT,3301527940,SCOTT PRIESTLEY,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
GILFORD,TREASURER,,OTHER,TOTAL,6,BELKNAP,33001,GILFORD,3300128740,WRITEIN,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,TRUE,NH,33,12,4,11/6/2018,FALSE
GILFORD,TREASURER,REPUBLICAN,REPUBLICAN,TOTAL,2462,BELKNAP,33001,GILFORD,3300128740,MICHAEL G MUZZEY,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
GILMANTON,TREASURER,,OTHER,TOTAL,6,BELKNAP,33001,GILMANTON,3300128980,WRITEIN,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,TRUE,NH,33,12,4,11/6/2018,FALSE
GILMANTON,TREASURER,REPUBLICAN,REPUBLICAN,TOTAL,1224,BELKNAP,33001,GILMANTON,3300128980,MICHAEL G MUZZEY,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
GILSUM,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,208,CHESHIRE,33005,GILSUM,3300529220,TERRY M CLARK,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
GILSUM,TREASURER,LIBERTARIAN,LIBERTARIAN,TOTAL,54,CHESHIRE,33005,GILSUM,3300529220,KENNETH KELLY,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
GOFFSTOWN,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,2994,HILLSBOROUGH,33011,GOFFSTOWN,3301129860,WILLIAM BRYK,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
GOFFSTOWN,TREASURER,,OTHER,TOTAL,2,HILLSBOROUGH,33011,GOFFSTOWN,3301129860,WRITEIN,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,TRUE,NH,33,12,4,11/6/2018,FALSE
GOFFSTOWN,TREASURER,REPUBLICAN,REPUBLICAN,TOTAL,3729,HILLSBOROUGH,33011,GOFFSTOWN,3301129860,DAVID G FREDETTE,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
GORHAM,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,549,COOS,33007,GORHAM,3300730260,EMILY JACOBS,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
